time,roll,pitch,yaw,sway,surge,sway,speed,accel,is_origin
0.5,0,0.239712769,0,0,0,0,0.5,0.04,0
1,0,0.420735492,0,0,0,0,0.5,0.04,0
1.5,0,0.498747493,0,0,0,0,0.5,0.04,0
2,0,0.454648713,0,0,0,0,0.5,0.04,0
2.5,0,0.299236072,0,0,0,0,0.5,0.04,0
3,0,0.070560004,0,0,0,0,0.5,0.04,0
3.5,0,-0.175391614,0,0,0,0,0.5,0.2,0
4,0,-0.378401248,0,0,0,0,0.5,0.2,0
4.5,0,-0.488765059,0,0,0,0,0.5,0.2,0
5,0,-0.479462137,0,0,0,0,0.5,0.2,0
5.5,0,-0.352770163,0,0,0,0,0.5,0.2,0
6,0,-0.139707749,0,0,0,0,0.5,0.2,0
6.5,0,0.107559994,0,0,0,0,0.5,0.2,0
7,0,0.328493299,0,0,0,0,0.5,0.2,0
7.5,0,0.468999988,0,0,0,0,0.5,0.2,0
8,0,0.494679123,0,0,0,0,0.5,0.2,0
8.5,0,0.399243556,0,0,0,0,0.5,0.2,0
9,0,0.206059243,0,0,0,0,0.5,0.2,0
9.5,0,-0.03757556,0,0,0,0,0.5,0.2,0
10,0,-0.272010555,0,0,0,0,0.5,0.2,0
